From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Taxonomic lineage
K2QEI4_METFP	K2QEI4	unreviewed	K2QEI4_METFP	Arginine biosynthesis bifunctional protein ArgJ [Cleaved into: Arginine biosynthesis bifunctional protein ArgJ alpha chain; Arginine biosynthesis bifunctional protein ArgJ beta chain ] [Includes: Glutamate N-acetyltransferase, EC 2.3.1.35 (Ornithine acetyltransferase, OATase) (Ornithine transacetylase); Amino-acid acetyltransferase, EC 2.3.1.1 (N-acetylglutamate synthase, AGSase) ]	argJ A994_03423	Methanobacterium formicicum (strain DSM 3637 / PP1)	397	
K2R6X5	K2R6X5	unreviewed	K2R6X5_METFP	Acetolactate synthase, EC 2.2.1.6	A994_01660	Methanobacterium formicicum (strain DSM 3637 / PP1)	578	
K2R6X5_METFP	K2R6X5	unreviewed	K2R6X5_METFP	Acetolactate synthase, EC 2.2.1.6	A994_01660	Methanobacterium formicicum (strain DSM 3637 / PP1)	578	
K2QFU6	K2QFU6	unreviewed	K2QFU6_METFP	Acetolactate synthase small subunit, AHAS, ALS, EC 2.2.1.6 (Acetohydroxy-acid synthase small subunit)	ilvH A994_01655	Methanobacterium formicicum (strain DSM 3637 / PP1)	166	
K2QFU6_METFP	K2QFU6	unreviewed	K2QFU6_METFP	Acetolactate synthase small subunit, AHAS, ALS, EC 2.2.1.6 (Acetohydroxy-acid synthase small subunit)	ilvH A994_01655	Methanobacterium formicicum (strain DSM 3637 / PP1)	166	
K2RUL8	K2RUL8	unreviewed	K2RUL8_METFP	Amino acid-binding ACT domain-containing protein	A994_03193	Methanobacterium formicicum (strain DSM 3637 / PP1)	143	
K2RUL8_METFP	K2RUL8	unreviewed	K2RUL8_METFP	Amino acid-binding ACT domain-containing protein	A994_03193	Methanobacterium formicicum (strain DSM 3637 / PP1)	143	
K2RF99	K2RF99	unreviewed	K2RF99_METFP	Amidohydrolase	A994_02255	Methanobacterium formicicum (strain DSM 3637 / PP1)	418	
K2RF99_METFP	K2RF99	unreviewed	K2RF99_METFP	Amidohydrolase	A994_02255	Methanobacterium formicicum (strain DSM 3637 / PP1)	418	
K2R6I1	K2R6I1	unreviewed	K2R6I1_METFP	3-isopropylmalate dehydratase small subunit, EC 4.2.1.33 (Alpha-IPM isomerase, IPMI) (Isopropylmalate isomerase)	leuD A994_01035	Methanobacterium formicicum (strain DSM 3637 / PP1)	169	
K2R6I1_METFP	K2R6I1	unreviewed	K2R6I1_METFP	3-isopropylmalate dehydratase small subunit, EC 4.2.1.33 (Alpha-IPM isomerase, IPMI) (Isopropylmalate isomerase)	leuD A994_01035	Methanobacterium formicicum (strain DSM 3637 / PP1)	169	
K2RT91	K2RT91	unreviewed	K2RT91_METFP	Aminotransferase	A994_05846	Methanobacterium formicicum (strain DSM 3637 / PP1)	399	
K2RT91_METFP	K2RT91	unreviewed	K2RT91_METFP	Aminotransferase	A994_05846	Methanobacterium formicicum (strain DSM 3637 / PP1)	399	
K2R308	K2R308	unreviewed	K2R308_METFP	Acetylornithine aminotransferase, ACOAT, EC 2.6.1.11	argD A994_01440	Methanobacterium formicicum (strain DSM 3637 / PP1)	392	
K2R308_METFP	K2R308	unreviewed	K2R308_METFP	Acetylornithine aminotransferase, ACOAT, EC 2.6.1.11	argD A994_01440	Methanobacterium formicicum (strain DSM 3637 / PP1)	392	
K2R338	K2R338	unreviewed	K2R338_METFP	5'-nucleotidase SurE, EC 3.1.3.5 (Nucleoside 5'-monophosphate phosphohydrolase)	surE A994_01640	Methanobacterium formicicum (strain DSM 3637 / PP1)	258	
K2R338_METFP	K2R338	unreviewed	K2R338_METFP	5'-nucleotidase SurE, EC 3.1.3.5 (Nucleoside 5'-monophosphate phosphohydrolase)	surE A994_01640	Methanobacterium formicicum (strain DSM 3637 / PP1)	258	
K2R2K5	K2R2K5	unreviewed	K2R2K5_METFP	Acetate/CoA ligase	A994_08286	Methanobacterium formicicum (strain DSM 3637 / PP1)	620	
K2R2K5_METFP	K2R2K5	unreviewed	K2R2K5_METFP	Acetate/CoA ligase	A994_08286	Methanobacterium formicicum (strain DSM 3637 / PP1)	620	
K2RQD8	K2RQD8	unreviewed	K2RQD8_METFP	Acetate/CoA ligase	A994_11202	Methanobacterium formicicum (strain DSM 3637 / PP1)	634	
K2RQD8_METFP	K2RQD8	unreviewed	K2RQD8_METFP	Acetate/CoA ligase	A994_11202	Methanobacterium formicicum (strain DSM 3637 / PP1)	634	
K2RCP9	K2RCP9	unreviewed	K2RCP9_METFP	Butyrate--CoA ligase	A994_04065	Methanobacterium formicicum (strain DSM 3637 / PP1)	556	
K2RCP9_METFP	K2RCP9	unreviewed	K2RCP9_METFP	Butyrate--CoA ligase	A994_04065	Methanobacterium formicicum (strain DSM 3637 / PP1)	556	
K2QXW0	K2QXW0	unreviewed	K2QXW0_METFP	Signal transduction protein with CBS domains	A994_09713	Methanobacterium formicicum (strain DSM 3637 / PP1)	140	
K2QXW0_METFP	K2QXW0	unreviewed	K2QXW0_METFP	Signal transduction protein with CBS domains	A994_09713	Methanobacterium formicicum (strain DSM 3637 / PP1)	140	
K2QEQ6	K2QEQ6	unreviewed	K2QEQ6_METFP	Phosphonate-transporting ATPase	A994_03798	Methanobacterium formicicum (strain DSM 3637 / PP1)	226	
K2QEQ6_METFP	K2QEQ6	unreviewed	K2QEQ6_METFP	Phosphonate-transporting ATPase	A994_03798	Methanobacterium formicicum (strain DSM 3637 / PP1)	226	
K2QCH9	K2QCH9	unreviewed	K2QCH9_METFP	Phosphonate-transporting ATPase	A994_06540	Methanobacterium formicicum (strain DSM 3637 / PP1)	243	
K2QCH9_METFP	K2QCH9	unreviewed	K2QCH9_METFP	Phosphonate-transporting ATPase	A994_06540	Methanobacterium formicicum (strain DSM 3637 / PP1)	243	
K2R3J9	K2R3J9	unreviewed	K2R3J9_METFP	Uncharacterized protein	A994_06870	Methanobacterium formicicum (strain DSM 3637 / PP1)	354	
K2R3J9_METFP	K2R3J9	unreviewed	K2R3J9_METFP	Uncharacterized protein	A994_06870	Methanobacterium formicicum (strain DSM 3637 / PP1)	354	
K2QAI2	K2QAI2	unreviewed	K2QAI2_METFP	FUN34-like protein	A994_11207	Methanobacterium formicicum (strain DSM 3637 / PP1)	192	
K2QAI2_METFP	K2QAI2	unreviewed	K2QAI2_METFP	FUN34-like protein	A994_11207	Methanobacterium formicicum (strain DSM 3637 / PP1)	192	
K2R120	K2R120	unreviewed	K2R120_METFP	Glutamine amidotransferase of anthranilate synthase	A994_04735	Methanobacterium formicicum (strain DSM 3637 / PP1)	192	
K2R120_METFP	K2R120	unreviewed	K2R120_METFP	Glutamine amidotransferase of anthranilate synthase	A994_04735	Methanobacterium formicicum (strain DSM 3637 / PP1)	192	
K2QE20	K2QE20	unreviewed	K2QE20_METFP	Adenine deaminase, Adenase, Adenine aminase, EC 3.5.4.2	ade A994_05225	Methanobacterium formicicum (strain DSM 3637 / PP1)	611	
K2QE20_METFP	K2QE20	unreviewed	K2QE20_METFP	Adenine deaminase, Adenase, Adenine aminase, EC 3.5.4.2	ade A994_05225	Methanobacterium formicicum (strain DSM 3637 / PP1)	611	
K2QYP3	K2QYP3	unreviewed	K2QYP3_METFP	Putative adenylate kinase, AK, EC 2.7.4.3 (ATP-AMP transphosphorylase)	A994_08216	Methanobacterium formicicum (strain DSM 3637 / PP1)	256	
K2QYP3_METFP	K2QYP3	unreviewed	K2QYP3_METFP	Putative adenylate kinase, AK, EC 2.7.4.3 (ATP-AMP transphosphorylase)	A994_08216	Methanobacterium formicicum (strain DSM 3637 / PP1)	256	
K2QDW4	K2QDW4	unreviewed	K2QDW4_METFP	Adenylyl cyclase	A994_04850	Methanobacterium formicicum (strain DSM 3637 / PP1)	179	
K2QDW4_METFP	K2QDW4	unreviewed	K2QDW4_METFP	Adenylyl cyclase	A994_04850	Methanobacterium formicicum (strain DSM 3637 / PP1)	179	
K2QZC7	K2QZC7	unreviewed	K2QZC7_METFP	PfkB domain-containing protein	A994_07946	Methanobacterium formicicum (strain DSM 3637 / PP1)	301	
K2QZC7_METFP	K2QZC7	unreviewed	K2QZC7_METFP	PfkB domain-containing protein	A994_07946	Methanobacterium formicicum (strain DSM 3637 / PP1)	301	
K2RVM1	K2RVM1	unreviewed	K2RVM1_METFP	NUDIX hydrolase	A994_00900	Methanobacterium formicicum (strain DSM 3637 / PP1)	134	
K2RVM1_METFP	K2RVM1	unreviewed	K2RVM1_METFP	NUDIX hydrolase	A994_00900	Methanobacterium formicicum (strain DSM 3637 / PP1)	134	
K2RVM8	K2RVM8	unreviewed	K2RVM8_METFP	Hypoxanthine/guanine phosphoribosyltransferase, HGPRTase, EC 2.4.2.8	hpt A994_00925	Methanobacterium formicicum (strain DSM 3637 / PP1)	192	
K2RVM8_METFP	K2RVM8	unreviewed	K2RVM8_METFP	Hypoxanthine/guanine phosphoribosyltransferase, HGPRTase, EC 2.4.2.8	hpt A994_00925	Methanobacterium formicicum (strain DSM 3637 / PP1)	192	
K2RTM7	K2RTM7	unreviewed	K2RTM7_METFP	Elongation factor 1-alpha, EF-1-alpha (Elongation factor Tu, EF-Tu)	tuf A994_04370	Methanobacterium formicicum (strain DSM 3637 / PP1)	413	
K2RTM7_METFP	K2RTM7	unreviewed	K2RTM7_METFP	Elongation factor 1-alpha, EF-1-alpha (Elongation factor Tu, EF-Tu)	tuf A994_04370	Methanobacterium formicicum (strain DSM 3637 / PP1)	413	
K2RWA6	K2RWA6	unreviewed	K2RWA6_METFP	Adenylosuccinate lyase, ASL, EC 4.3.2.2 (Adenylosuccinase)	A994_02185	Methanobacterium formicicum (strain DSM 3637 / PP1)	449	
K2RWA6_METFP	K2RWA6	unreviewed	K2RWA6_METFP	Adenylosuccinate lyase, ASL, EC 4.3.2.2 (Adenylosuccinase)	A994_02185	Methanobacterium formicicum (strain DSM 3637 / PP1)	449	
K2RC98	K2RC98	unreviewed	K2RC98_METFP	Adenylosuccinate synthetase, AMPSase, AdSS, EC 6.3.4.4 (IMP--aspartate ligase)	purA A994_05441	Methanobacterium formicicum (strain DSM 3637 / PP1)	340	
K2RC98_METFP	K2RC98	unreviewed	K2RC98_METFP	Adenylosuccinate synthetase, AMPSase, AdSS, EC 6.3.4.4 (IMP--aspartate ligase)	purA A994_05441	Methanobacterium formicicum (strain DSM 3637 / PP1)	340	
K2R1F1	K2R1F1	unreviewed	K2R1F1_METFP	Agmatinase	A994_05235	Methanobacterium formicicum (strain DSM 3637 / PP1)	296	
K2R1F1_METFP	K2R1F1	unreviewed	K2R1F1_METFP	Agmatinase	A994_05235	Methanobacterium formicicum (strain DSM 3637 / PP1)	296	
K2R5D6	K2R5D6	unreviewed	K2R5D6_METFP	N-acetyl-gamma-glutamyl-phosphate reductase, AGPR, EC 1.2.1.38 (N-acetyl-glutamate semialdehyde dehydrogenase, NAGSA dehydrogenase)	argC A994_02978	Methanobacterium formicicum (strain DSM 3637 / PP1)	336	
K2R5D6_METFP	K2R5D6	unreviewed	K2R5D6_METFP	N-acetyl-gamma-glutamyl-phosphate reductase, AGPR, EC 1.2.1.38 (N-acetyl-glutamate semialdehyde dehydrogenase, NAGSA dehydrogenase)	argC A994_02978	Methanobacterium formicicum (strain DSM 3637 / PP1)	336	
K2RFA6	K2RFA6	unreviewed	K2RFA6_METFP	6-phospho 3-hexuloisomerase	A994_02305	Methanobacterium formicicum (strain DSM 3637 / PP1)	197	
K2RFA6_METFP	K2RFA6	unreviewed	K2RFA6_METFP	6-phospho 3-hexuloisomerase	A994_02305	Methanobacterium formicicum (strain DSM 3637 / PP1)	197	
K2RD34	K2RD34	unreviewed	K2RD34_METFP	S-inosyl-L-homocysteine hydrolase, SIHH, EC 3.13.1.9	A994_04815	Methanobacterium formicicum (strain DSM 3637 / PP1)	417	
K2RD34_METFP	K2RD34	unreviewed	K2RD34_METFP	S-inosyl-L-homocysteine hydrolase, SIHH, EC 3.13.1.9	A994_04815	Methanobacterium formicicum (strain DSM 3637 / PP1)	417	
K2R932	K2R932	unreviewed	K2R932_METFP	CRISPR-associated helicase Cas3	A994_11412	Methanobacterium formicicum (strain DSM 3637 / PP1)	748	
K2R932_METFP	K2R932	unreviewed	K2R932_METFP	CRISPR-associated helicase Cas3	A994_11412	Methanobacterium formicicum (strain DSM 3637 / PP1)	748	
K2RWC1	K2RWC1	unreviewed	K2RWC1_METFP	Phosphomethylpyrimidine synthase, EC 4.1.99.17 (Hydroxymethylpyrimidine phosphate synthase, HMP-P synthase, HMP-phosphate synthase, HMPP synthase) (Thiamine biosynthesis protein ThiC)	thiC A994_02285	Methanobacterium formicicum (strain DSM 3637 / PP1)	432	
K2RWC1_METFP	K2RWC1	unreviewed	K2RWC1_METFP	Phosphomethylpyrimidine synthase, EC 4.1.99.17 (Hydroxymethylpyrimidine phosphate synthase, HMP-P synthase, HMP-phosphate synthase, HMPP synthase) (Thiamine biosynthesis protein ThiC)	thiC A994_02285	Methanobacterium formicicum (strain DSM 3637 / PP1)	432	
K2RFF9	K2RFF9	unreviewed	K2RFF9_METFP	Phosphomethylpyrimidine synthase, EC 4.1.99.17 (Hydroxymethylpyrimidine phosphate synthase, HMP-P synthase, HMP-phosphate synthase, HMPP synthase) (Thiamine biosynthesis protein ThiC)	thiC A994_02580	Methanobacterium formicicum (strain DSM 3637 / PP1)	424	
K2RFF9_METFP	K2RFF9	unreviewed	K2RFF9_METFP	Phosphomethylpyrimidine synthase, EC 4.1.99.17 (Hydroxymethylpyrimidine phosphate synthase, HMP-P synthase, HMP-phosphate synthase, HMPP synthase) (Thiamine biosynthesis protein ThiC)	thiC A994_02580	Methanobacterium formicicum (strain DSM 3637 / PP1)	424	
K2R1F5	K2R1F5	unreviewed	K2R1F5_METFP	O-acetylhomoserine/O-acetylserine sulfhydrylase	A994_10629	Methanobacterium formicicum (strain DSM 3637 / PP1)	437	
K2R1F5_METFP	K2R1F5	unreviewed	K2R1F5_METFP	O-acetylhomoserine/O-acetylserine sulfhydrylase	A994_10629	Methanobacterium formicicum (strain DSM 3637 / PP1)	437	
K2RQP1	K2RQP1	unreviewed	K2RQP1_METFP	Cystathionine gamma-lyase	A994_10719	Methanobacterium formicicum (strain DSM 3637 / PP1)	377	
K2RQP1_METFP	K2RQP1	unreviewed	K2RQP1_METFP	Cystathionine gamma-lyase	A994_10719	Methanobacterium formicicum (strain DSM 3637 / PP1)	377	
K2RPS7	K2RPS7	unreviewed	K2RPS7_METFP	Uncharacterized protein	A994_12066	Methanobacterium formicicum (strain DSM 3637 / PP1)	335	
K2RPS7_METFP	K2RPS7	unreviewed	K2RPS7_METFP	Uncharacterized protein	A994_12066	Methanobacterium formicicum (strain DSM 3637 / PP1)	335	
K2R2K9	K2R2K9	unreviewed	K2R2K9_METFP	1-(5-phosphoribosyl)-5-amino-4-imidazole-carboxylate (AIR) carboxylase	A994_00740	Methanobacterium formicicum (strain DSM 3637 / PP1)	254	
K2R2K9_METFP	K2R2K9	unreviewed	K2R2K9_METFP	1-(5-phosphoribosyl)-5-amino-4-imidazole-carboxylate (AIR) carboxylase	A994_00740	Methanobacterium formicicum (strain DSM 3637 / PP1)	254	
K2QFG9	K2QFG9	unreviewed	K2QFG9_METFP	N5-carboxyaminoimidazole ribonucleotide mutase, N5-CAIR mutase, EC 5.4.99.18 (5-(carboxyamino)imidazole ribonucleotide mutase)	purE A994_01005	Methanobacterium formicicum (strain DSM 3637 / PP1)	353	
K2QFG9_METFP	K2QFG9	unreviewed	K2QFG9_METFP	N5-carboxyaminoimidazole ribonucleotide mutase, N5-CAIR mutase, EC 5.4.99.18 (5-(carboxyamino)imidazole ribonucleotide mutase)	purE A994_01005	Methanobacterium formicicum (strain DSM 3637 / PP1)	353	
K2QXF4	K2QXF4	unreviewed	K2QXF4_METFP	Uncharacterized protein	A994_11142	Methanobacterium formicicum (strain DSM 3637 / PP1)	414	
K2QXF4_METFP	K2QXF4	unreviewed	K2QXF4_METFP	Uncharacterized protein	A994_11142	Methanobacterium formicicum (strain DSM 3637 / PP1)	414	
K2R2N6	K2R2N6	unreviewed	K2R2N6_METFP	Aminotransferase, EC 2.6.1.-	A994_08536	Methanobacterium formicicum (strain DSM 3637 / PP1)	388	
K2R2N6_METFP	K2R2N6	unreviewed	K2R2N6_METFP	Aminotransferase, EC 2.6.1.-	A994_08536	Methanobacterium formicicum (strain DSM 3637 / PP1)	388	
K2RT23	K2RT23	unreviewed	K2RT23_METFP	NADP-dependent oxidoreductase domain-containing protein	A994_07310	Methanobacterium formicicum (strain DSM 3637 / PP1)	386	
K2RT23_METFP	K2RT23	unreviewed	K2RT23_METFP	NADP-dependent oxidoreductase domain-containing protein	A994_07310	Methanobacterium formicicum (strain DSM 3637 / PP1)	386	
K2RTP5	K2RTP5	unreviewed	K2RTP5_METFP	Aldo/keto reductase	A994_04470	Methanobacterium formicicum (strain DSM 3637 / PP1)	418	
K2RTP5_METFP	K2RTP5	unreviewed	K2RTP5_METFP	Aldo/keto reductase	A994_04470	Methanobacterium formicicum (strain DSM 3637 / PP1)	418	
K2RSS0	K2RSS0	unreviewed	K2RSS0_METFP	Lactaldehyde dehydrogenase, EC 1.2.1.22	A994_06935	Methanobacterium formicicum (strain DSM 3637 / PP1)	468	
K2RSS0_METFP	K2RSS0	unreviewed	K2RSS0_METFP	Lactaldehyde dehydrogenase, EC 1.2.1.22	A994_06935	Methanobacterium formicicum (strain DSM 3637 / PP1)	468	
K2RPG1	K2RPG1	unreviewed	K2RPG1_METFP	Uncharacterized protein	A994_12313	Methanobacterium formicicum (strain DSM 3637 / PP1)	205	
K2RPG1_METFP	K2RPG1	unreviewed	K2RPG1_METFP	Uncharacterized protein	A994_12313	Methanobacterium formicicum (strain DSM 3637 / PP1)	205	
K2Q9H6	K2Q9H6	unreviewed	K2Q9H6_METFP	Dihydroorotase, DHOase, EC 3.5.2.3	pyrC A994_12697	Methanobacterium formicicum (strain DSM 3637 / PP1)	435	
K2Q9H6_METFP	K2Q9H6	unreviewed	K2Q9H6_METFP	Dihydroorotase, DHOase, EC 3.5.2.3	pyrC A994_12697	Methanobacterium formicicum (strain DSM 3637 / PP1)	435	
K2RBJ6	K2RBJ6	unreviewed	K2RBJ6_METFP	Uroporphyrin-III C-methyltransferase, EC 2.1.1.107	A994_08126	Methanobacterium formicicum (strain DSM 3637 / PP1)	237	
K2RBJ6_METFP	K2RBJ6	unreviewed	K2RBJ6_METFP	Uroporphyrin-III C-methyltransferase, EC 2.1.1.107	A994_08126	Methanobacterium formicicum (strain DSM 3637 / PP1)	237	
K2QYF1	K2QYF1	unreviewed	K2QYF1_METFP	Aldo_ket_red domain-containing protein	A994_09106	Methanobacterium formicicum (strain DSM 3637 / PP1)	384	
K2QYF1_METFP	K2QYF1	unreviewed	K2QYF1_METFP	Aldo_ket_red domain-containing protein	A994_09106	Methanobacterium formicicum (strain DSM 3637 / PP1)	384	
K2R302	K2R302	unreviewed	K2R302_METFP	Type 11 methyltransferase	A994_01390	Methanobacterium formicicum (strain DSM 3637 / PP1)	272	
K2R302_METFP	K2R302	unreviewed	K2R302_METFP	Type 11 methyltransferase	A994_01390	Methanobacterium formicicum (strain DSM 3637 / PP1)	272	
K2RCZ0	K2RCZ0	unreviewed	K2RCZ0_METFP	Type 11 methyltransferase	A994_04590	Methanobacterium formicicum (strain DSM 3637 / PP1)	557	
K2RCZ0_METFP	K2RCZ0	unreviewed	K2RCZ0_METFP	Type 11 methyltransferase	A994_04590	Methanobacterium formicicum (strain DSM 3637 / PP1)	557	
K2QZT8	K2QZT8	unreviewed	K2QZT8_METFP	Xaa-Pro dipeptidase	A994_06950	Methanobacterium formicicum (strain DSM 3637 / PP1)	334	
K2QZT8_METFP	K2QZT8	unreviewed	K2QZT8_METFP	Xaa-Pro dipeptidase	A994_06950	Methanobacterium formicicum (strain DSM 3637 / PP1)	334	
K2RD17	K2RD17	unreviewed	K2RD17_METFP	Anthranilate synthase component 1, EC 4.1.3.27	trpE A994_04740	Methanobacterium formicicum (strain DSM 3637 / PP1)	463	
K2RD17_METFP	K2RD17	unreviewed	K2RD17_METFP	Anthranilate synthase component 1, EC 4.1.3.27	trpE A994_04740	Methanobacterium formicicum (strain DSM 3637 / PP1)	463	
K2R112	K2R112	unreviewed	K2R112_METFP	Anthranilate phosphoribosyltransferase, EC 2.4.2.18	trpD A994_04710	Methanobacterium formicicum (strain DSM 3637 / PP1)	361	
K2R112_METFP	K2R112	unreviewed	K2R112_METFP	Anthranilate phosphoribosyltransferase, EC 2.4.2.18	trpD A994_04710	Methanobacterium formicicum (strain DSM 3637 / PP1)	361	
K2R362	K2R362	unreviewed	K2R362_METFP	2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase, EC 1.1.1.302 (2,5-diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one reductase) (2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate synthase)	A994_08091	Methanobacterium formicicum (strain DSM 3637 / PP1)	213	
K2R362_METFP	K2R362	unreviewed	K2R362_METFP	2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase, EC 1.1.1.302 (2,5-diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one reductase) (2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate synthase)	A994_08091	Methanobacterium formicicum (strain DSM 3637 / PP1)	213	
K2RCF0	K2RCF0	unreviewed	K2RCF0_METFP	Transporter	A994_05791	Methanobacterium formicicum (strain DSM 3637 / PP1)	395	
K2RCF0_METFP	K2RCF0	unreviewed	K2RCF0_METFP	Transporter	A994_05791	Methanobacterium formicicum (strain DSM 3637 / PP1)	395	
K2RUA7	K2RUA7	unreviewed	K2RUA7_METFP	Pyruvoyl-dependent arginine decarboxylase, PvlArgDC, EC 4.1.1.19 [Cleaved into: Pyruvoyl-dependent arginine decarboxylase subunit beta; Pyruvoyl-dependent arginine decarboxylase subunit alpha ]	pdaD A994_05245	Methanobacterium formicicum (strain DSM 3637 / PP1)	147	
K2RUA7_METFP	K2RUA7	unreviewed	K2RUA7_METFP	Pyruvoyl-dependent arginine decarboxylase, PvlArgDC, EC 4.1.1.19 [Cleaved into: Pyruvoyl-dependent arginine decarboxylase subunit beta; Pyruvoyl-dependent arginine decarboxylase subunit alpha ]	pdaD A994_05245	Methanobacterium formicicum (strain DSM 3637 / PP1)	147	
K2R570	K2R570	unreviewed	K2R570_METFP	LOR/SDH bifunctional protein	A994_05230	Methanobacterium formicicum (strain DSM 3637 / PP1)	410	
K2R570_METFP	K2R570	unreviewed	K2R570_METFP	LOR/SDH bifunctional protein	A994_05230	Methanobacterium formicicum (strain DSM 3637 / PP1)	410	
K2R2P3	K2R2P3	unreviewed	K2R2P3_METFP	Argininosuccinate lyase, ASAL, EC 4.3.2.1 (Arginosuccinase)	argH A994_08586	Methanobacterium formicicum (strain DSM 3637 / PP1)	469	
K2R2P3_METFP	K2R2P3	unreviewed	K2R2P3_METFP	Argininosuccinate lyase, ASAL, EC 4.3.2.1 (Arginosuccinase)	argH A994_08586	Methanobacterium formicicum (strain DSM 3637 / PP1)	469	
K2QF10	K2QF10	unreviewed	K2QF10_METFP	Argininosuccinate synthase, EC 6.3.4.5 (Citrulline--aspartate ligase)	argG A994_00330	Methanobacterium formicicum (strain DSM 3637 / PP1)	392	
K2QF10_METFP	K2QF10	unreviewed	K2QF10_METFP	Argininosuccinate synthase, EC 6.3.4.5 (Citrulline--aspartate ligase)	argG A994_00330	Methanobacterium formicicum (strain DSM 3637 / PP1)	392	
K2QEV2	K2QEV2	unreviewed	K2QEV2_METFP	Prephenate dehydratase	A994_00030	Methanobacterium formicicum (strain DSM 3637 / PP1)	269	
K2QEV2_METFP	K2QEV2	unreviewed	K2QEV2_METFP	Prephenate dehydratase	A994_00030	Methanobacterium formicicum (strain DSM 3637 / PP1)	269	
K2QX37	K2QX37	unreviewed	K2QX37_METFP	Aspartate-semialdehyde dehydrogenase, ASA dehydrogenase, ASADH, EC 1.2.1.11 (Aspartate-beta-semialdehyde dehydrogenase)	asd A994_11507	Methanobacterium formicicum (strain DSM 3637 / PP1)	348	
