From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Taxonomic lineage
A994_09648	K2RQU4	unreviewed	K2RQU4_METFP	Ribose-phosphate pyrophosphokinase, RPPK, EC 2.7.6.1 (5-phospho-D-ribosyl alpha-1-diphosphate) (Phosphoribosyl diphosphate synthase) (Phosphoribosyl pyrophosphate synthase, P-Rib-PP synthase, PRPP synthase, PRPPase)	prs A994_09648	Methanobacterium formicicum (strain DSM 3637 / PP1)	285	
A994_03783	K2R219	unreviewed	K2R219_METFP	Major facilitator superfamily protein	A994_03783	Methanobacterium formicicum (strain DSM 3637 / PP1)	479	
A994_02210	K2RWB1	unreviewed	K2RWB1_METFP	5-formaminoimidazole-4-carboxamide-1-(beta)-D-ribofuranosyl 5'-monophosphate synthetase, EC 6.3.4.23 (5-aminoimidazole-4-carboxamide-1-beta-D-ribofuranosyl 5'-monophosphate--formate ligase)	purP A994_02210	Methanobacterium formicicum (strain DSM 3637 / PP1)	363	
A994_10634	K2QXP6	reviewed	METXA_METFP	Homoserine O-acetyltransferase, HAT, EC 2.3.1.31 (Homoserine transacetylase, HTA)	metXA A994_10634	Methanobacterium formicicum (strain DSM 3637 / PP1)	493	
A994_06256	K2RTE8	unreviewed	K2RTE8_METFP	Uncharacterized protein	A994_06256	Methanobacterium formicicum (strain DSM 3637 / PP1)	433	
A994_04870	K2RU11	unreviewed	K2RU11_METFP	EmrB/QacA subfamily drug resistance transporter	A994_04870	Methanobacterium formicicum (strain DSM 3637 / PP1)	471	
A994_04875	K2QDW9	unreviewed	K2QDW9_METFP	NADPH-dependent F420 reductase	A994_04875	Methanobacterium formicicum (strain DSM 3637 / PP1)	225	
A994_03423	K2QEI4	unreviewed	K2QEI4_METFP	Arginine biosynthesis bifunctional protein ArgJ [Cleaved into: Arginine biosynthesis bifunctional protein ArgJ alpha chain; Arginine biosynthesis bifunctional protein ArgJ beta chain ] [Includes: Glutamate N-acetyltransferase, EC 2.3.1.35 (Ornithine acetyltransferase, OATase) (Ornithine transacetylase); Amino-acid acetyltransferase, EC 2.3.1.1 (N-acetylglutamate synthase, AGSase) ]	argJ A994_03423	Methanobacterium formicicum (strain DSM 3637 / PP1)	397	
A994_04755	K2R4V4	unreviewed	K2R4V4_METFP	Dihydrolipoyl dehydrogenase	A994_04755	Methanobacterium formicicum (strain DSM 3637 / PP1)	432	
A994_02215	K2QG54	unreviewed	K2QG54_METFP	Carbonic anhydrase	A994_02215	Methanobacterium formicicum (strain DSM 3637 / PP1)	173	
A994_00830	K2QFA9	unreviewed	K2QFA9_METFP	Coenzyme F420 hydrogenase subunit alpha	A994_00830	Methanobacterium formicicum (strain DSM 3637 / PP1)	405	
A994_05846	K2RT91	unreviewed	K2RT91_METFP	Aminotransferase	A994_05846	Methanobacterium formicicum (strain DSM 3637 / PP1)	399	
A994_08441	K2QYS6	unreviewed	K2QYS6_METFP	Archaeal glutamate synthase [NADPH], EC 1.4.1.13	A994_08441	Methanobacterium formicicum (strain DSM 3637 / PP1)	499	
A994_10519	K2RQK4	unreviewed	K2RQK4_METFP	CTP synthase, EC 6.3.4.2 (Cytidine 5'-triphosphate synthase) (Cytidine triphosphate synthetase, CTP synthetase, CTPS) (UTP--ammonia ligase)	pyrG A994_10519	Methanobacterium formicicum (strain DSM 3637 / PP1)	529	
A994_05295	K2RUD8	unreviewed	K2RUD8_METFP	Uridylate kinase, UK, EC 2.7.4.22 (Uridine monophosphate kinase, UMP kinase, UMPK)	pyrH A994_05295	Methanobacterium formicicum (strain DSM 3637 / PP1)	254	
A994_04085	K2R0N6	unreviewed	K2R0N6_METFP	2-oxoacid:acceptor oxidoreductase subunit alpha	A994_04085	Methanobacterium formicicum (strain DSM 3637 / PP1)	613	
A994_11517	K2RQ09	unreviewed	K2RQ09_METFP	4-hydroxy-tetrahydrodipicolinate synthase, HTPA synthase, EC 4.3.3.7	dapA A994_11517	Methanobacterium formicicum (strain DSM 3637 / PP1)	296	
A994_09798	K2RQX4	unreviewed	K2RQX4_METFP	Carbamoyl-phosphate synthase small chain, EC 6.3.5.5 (Carbamoyl-phosphate synthetase glutamine chain)	carA A994_09798	Methanobacterium formicicum (strain DSM 3637 / PP1)	360	
A994_01035	K2R6I1	unreviewed	K2R6I1_METFP	3-isopropylmalate dehydratase small subunit, EC 4.2.1.33 (Alpha-IPM isomerase, IPMI) (Isopropylmalate isomerase)	leuD A994_01035	Methanobacterium formicicum (strain DSM 3637 / PP1)	169	
A994_11512	K2R951	unreviewed	K2R951_METFP	4-hydroxy-tetrahydrodipicolinate reductase, HTPA reductase, EC 1.17.1.8	dapB A994_11512	Methanobacterium formicicum (strain DSM 3637 / PP1)	272	
A994_11752	K2R116	unreviewed	K2R116_METFP	Methanogen homoaconitase small subunit, HACN, EC 4.2.1.114 (Homoaconitate hydratase)	hacB A994_11752	Methanobacterium formicicum (strain DSM 3637 / PP1)	169	
A994_01955	K2QG07	unreviewed	K2QG07_METFP	Imidazole glycerol phosphate synthase subunit HisH, EC 4.3.2.10 (IGP synthase glutaminase subunit, EC 3.5.1.2) (IGP synthase subunit HisH) (ImGP synthase subunit HisH, IGPS subunit HisH)	hisH A994_01955	Methanobacterium formicicum (strain DSM 3637 / PP1)	203	
A994_07020	K2R3P6	unreviewed	K2R3P6_METFP	Acetyl-CoA decarbonylase/synthase complex subunit beta, ACDS complex subunit beta, EC 2.3.1.169 (ACDS complex acyltransferase)	cdhC A994_07020	Methanobacterium formicicum (strain DSM 3637 / PP1)	465	
A994_06171	K2RTD6	unreviewed	K2RTD6_METFP	Aminotransferase, EC 2.6.1.-	A994_06171	Methanobacterium formicicum (strain DSM 3637 / PP1)	370	
A994_01040	K2R2S3	unreviewed	K2R2S3_METFP	3-isopropylmalate dehydratase large subunit, EC 4.2.1.33 (Alpha-IPM isomerase, IPMI) (Isopropylmalate isomerase)	leuC A994_01040	Methanobacterium formicicum (strain DSM 3637 / PP1)	416	
A994_05085	K2R1B6	unreviewed	K2R1B6_METFP	Glyceraldehyde-3-phosphate dehydrogenase, GAPDH, EC 1.2.1.59 (NAD(P)-dependent glyceraldehyde-3-phosphate dehydrogenase)	gap A994_05085	Methanobacterium formicicum (strain DSM 3637 / PP1)	337	
A994_02230	K2RF93	unreviewed	K2RF93_METFP	Formate dehydrogenase	A994_02230	Methanobacterium formicicum (strain DSM 3637 / PP1)	398	
A994_01020	K2REM2	unreviewed	K2REM2_METFP	6,7-dimethyl-8-ribityllumazine synthase, DMRL synthase, LS, Lumazine synthase, EC 2.5.1.78	ribH A994_01020	Methanobacterium formicicum (strain DSM 3637 / PP1)	136	
A994_02350	K2R3G0	unreviewed	K2R3G0_METFP	Formylmethanofuran dehydrogenase, EC 1.2.7.12	A994_02350	Methanobacterium formicicum (strain DSM 3637 / PP1)	271	
A994_05861	K2R0C9	unreviewed	K2R0C9_METFP	Inorganic diphosphatase, EC 3.6.1.1	A994_05861	Methanobacterium formicicum (strain DSM 3637 / PP1)	182	
A994_06156	K2R4A4	unreviewed	K2R4A4_METFP	Probable inosine/xanthosine triphosphatase, ITPase/XTPase, EC 3.6.1.73 (Non-canonical purine NTP phosphatase) (Non-standard purine NTP phosphatase) (Nucleoside-triphosphate phosphatase, NTPase)	A994_06156	Methanobacterium formicicum (strain DSM 3637 / PP1)	179	
A994_02355	K2RFB5	unreviewed	K2RFB5_METFP	Tungsten formylmethanofuran dehydrogenase, subunit B	A994_02355	Methanobacterium formicicum (strain DSM 3637 / PP1)	432	
A994_03203	K2R5G7	unreviewed	K2R5G7_METFP	Superoxide dismutase, EC 1.15.1.1	A994_03203	Methanobacterium formicicum (strain DSM 3637 / PP1)	235	
A994_05866	K2RCG3	unreviewed	K2RCG3_METFP	Enolase, EC 4.2.1.11 (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	eno A994_05866	Methanobacterium formicicum (strain DSM 3637 / PP1)	413	
A994_10534	K2QXM8	unreviewed	K2QXM8_METFP	2,3-bisphosphoglycerate-independent phosphoglycerate mutase, BPG-independent PGAM, Phosphoglyceromutase, aPGAM, EC 5.4.2.12	apgM A994_10534	Methanobacterium formicicum (strain DSM 3637 / PP1)	411	
A994_10774	K2QAU8	unreviewed	K2QAU8_METFP	NADH ubiquinone oxidoreductase 20 kDa subunit	A994_10774	Methanobacterium formicicum (strain DSM 3637 / PP1)	149	
A994_10098	K2RR54	unreviewed	K2RR54_METFP	Bifunctional protein GlmU, EC 2.3.1.157, EC 2.7.7.23	A994_10098	Methanobacterium formicicum (strain DSM 3637 / PP1)	426	
A994_02360	K2RWD2	unreviewed	K2RWD2_METFP	Trimethylamine-N-oxide reductase (Cytochrome c)	A994_02360	Methanobacterium formicicum (strain DSM 3637 / PP1)	656	
A994_10539	K2R9N5	unreviewed	K2R9N5_METFP	Homoserine dehydrogenase, EC 1.1.1.3	A994_10539	Methanobacterium formicicum (strain DSM 3637 / PP1)	337	
A994_08461	K2R2M6	unreviewed	K2R2M6_METFP	Pyridoxal 5'-phosphate synthase subunit PdxT, EC 4.3.3.6 (Pdx2) (Pyridoxal 5'-phosphate synthase glutaminase subunit, EC 3.5.1.2)	pdxT A994_08461	Methanobacterium formicicum (strain DSM 3637 / PP1)	194	
A994_05195	K2RU95	unreviewed	K2RU95_METFP	GMP synthase [glutamine-hydrolyzing] subunit B, EC 6.3.5.2 (GMP synthetase)	guaAB A994_05195	Methanobacterium formicicum (strain DSM 3637 / PP1)	308	
A994_07010	K2RSU0	unreviewed	K2RSU0_METFP	Acetyl-CoA decarbonylase/synthase complex subunit alpha, ACDS complex subunit alpha, EC 1.2.7.4 (ACDS complex carbon monoxide dehydrogenase subunit alpha, ACDS CODH subunit alpha)	cdhA A994_07010	Methanobacterium formicicum (strain DSM 3637 / PP1)	788	
A994_11507	K2QX37	unreviewed	K2QX37_METFP	Aspartate-semialdehyde dehydrogenase, ASA dehydrogenase, ASADH, EC 1.2.1.11 (Aspartate-beta-semialdehyde dehydrogenase)	asd A994_11507	Methanobacterium formicicum (strain DSM 3637 / PP1)	348	
A994_10604	K2R1F0	unreviewed	K2R1F0_METFP	CoB--CoM heterodisulfide reductase	A994_10604	Methanobacterium formicicum (strain DSM 3637 / PP1)	327	
A994_08406	K2QBW6	unreviewed	K2QBW6_METFP	Pyridoxal 5'-phosphate synthase subunit PdxS, PLP synthase subunit PdxS, EC 4.3.3.6 (Pdx1)	pdxS A994_08406	Methanobacterium formicicum (strain DSM 3637 / PP1)	293	
A994_01330	K2QFQ3	unreviewed	K2QFQ3_METFP	Imidazole glycerol phosphate synthase subunit HisF, EC 4.3.2.10 (IGP synthase cyclase subunit) (IGP synthase subunit HisF) (ImGP synthase subunit HisF, IGPS subunit HisF)	hisF A994_01330	Methanobacterium formicicum (strain DSM 3637 / PP1)	274	
A994_05255	K2R592	unreviewed	K2R592_METFP	NAD kinase, EC 2.7.1.23 (ATP-dependent NAD kinase)	nadK A994_05255	Methanobacterium formicicum (strain DSM 3637 / PP1)	278	
A994_02540	K2QGC0	unreviewed	K2QGC0_METFP	Glutamine synthetase, EC 6.3.1.2	A994_02540	Methanobacterium formicicum (strain DSM 3637 / PP1)	442	
A994_11812	K2R9A4	unreviewed	K2R9A4_METFP	Pyruvate, water dikinase	A994_11812	Methanobacterium formicicum (strain DSM 3637 / PP1)	412	
A994_00240	K2R2B6	unreviewed	K2R2B6_METFP	NADH ubiquinone oxidoreductase 20 kDa subunit	A994_00240	Methanobacterium formicicum (strain DSM 3637 / PP1)	148	
A994_05496	K2RT51	unreviewed	K2RT51_METFP	Enolase, EC 4.2.1.11 (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	eno A994_05496	Methanobacterium formicicum (strain DSM 3637 / PP1)	416	
A994_00485	K2R642	unreviewed	K2R642_METFP	Pyrroline-5-carboxylate reductase, P5C reductase, P5CR, EC 1.5.1.2 (PCA reductase)	proC A994_00485	Methanobacterium formicicum (strain DSM 3637 / PP1)	279	
A994_04840	K2RD39	unreviewed	K2RD39_METFP	3-isopropylmalate dehydratase large subunit, EC 4.2.1.33 (Alpha-IPM isomerase, IPMI) (Isopropylmalate isomerase)	leuC A994_04840	Methanobacterium formicicum (strain DSM 3637 / PP1)	414	
A994_09733	K2R1M9	unreviewed	K2R1M9_METFP	Carbamoyl-phosphate synthase, EC 6.3.4.16 (Carbamoyl phosphate synthetase, CPSase)	A994_09733	Methanobacterium formicicum (strain DSM 3637 / PP1)	379	
A994_04720	K2RTW1	unreviewed	K2RTW1_METFP	Tryptophan synthase beta chain, EC 4.2.1.20	trpB A994_04720	Methanobacterium formicicum (strain DSM 3637 / PP1)	393	
A994_02305	K2RFA6	unreviewed	K2RFA6_METFP	6-phospho 3-hexuloisomerase	A994_02305	Methanobacterium formicicum (strain DSM 3637 / PP1)	197	
A994_11132	K2QAG9	unreviewed	K2QAG9_METFP	Phosphoenolpyruvate carboxylase, PEPC, PEPCase, EC 4.1.1.31	ppcA A994_11132	Methanobacterium formicicum (strain DSM 3637 / PP1)	477	
A994_00925	K2RVM8	unreviewed	K2RVM8_METFP	Hypoxanthine/guanine phosphoribosyltransferase, HGPRTase, EC 2.4.2.8	hpt A994_00925	Methanobacterium formicicum (strain DSM 3637 / PP1)	192	
A994_08091	K2R362	unreviewed	K2R362_METFP	2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase, EC 1.1.1.302 (2,5-diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one reductase) (2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate synthase)	A994_08091	Methanobacterium formicicum (strain DSM 3637 / PP1)	213	
A994_10609	K2QXP2	unreviewed	K2QXP2_METFP	Heterodisulfide reductase subunit HdrC	A994_10609	Methanobacterium formicicum (strain DSM 3637 / PP1)	195	
A994_04035	K2R0M8	unreviewed	K2R0M8_METFP	Bifunctional phosphomannomutase/phosphoglucomutase, EC 5.4.2.2	A994_04035	Methanobacterium formicicum (strain DSM 3637 / PP1)	449	
A994_04275	K2QDM4	unreviewed	K2QDM4_METFP	2-oxoglutarate ferredoxin oxidoreductase subunit beta	A994_04275	Methanobacterium formicicum (strain DSM 3637 / PP1)	288	
A994_01440	K2R308	unreviewed	K2R308_METFP	Acetylornithine aminotransferase, ACOAT, EC 2.6.1.11	argD A994_01440	Methanobacterium formicicum (strain DSM 3637 / PP1)	392	
A994_02410	K2RWE1	unreviewed	K2RWE1_METFP	Nitrogenase iron protein, EC 1.18.6.1 (Nitrogenase Fe protein) (Nitrogenase component II) (Nitrogenase reductase)	nifH A994_02410	Methanobacterium formicicum (strain DSM 3637 / PP1)	275	
A994_11127	K2RQC8	unreviewed	K2RQC8_METFP	Nitrite reductase (NAD(P)H)	A994_11127	Methanobacterium formicicum (strain DSM 3637 / PP1)	219	
A994_12697	K2Q9H6	unreviewed	K2Q9H6_METFP	Dihydroorotase, DHOase, EC 3.5.2.3	pyrC A994_12697	Methanobacterium formicicum (strain DSM 3637 / PP1)	435	
A994_04715	K2RD08	unreviewed	K2RD08_METFP	Tryptophan synthase alpha chain, EC 4.2.1.20	trpA A994_04715	Methanobacterium formicicum (strain DSM 3637 / PP1)	272	
A994_04280	K2R4J0	unreviewed	K2R4J0_METFP	2-oxoglutarate ferredoxin oxidoreductase subunit gamma, EC 1.2.7.3	A994_04280	Methanobacterium formicicum (strain DSM 3637 / PP1)	185	
A994_10719	K2RQP1	unreviewed	K2RQP1_METFP	Cystathionine gamma-lyase	A994_10719	Methanobacterium formicicum (strain DSM 3637 / PP1)	377	
A994_08641	K2QYV5	unreviewed	K2QYV5_METFP	Nucleoside diphosphate kinase, NDK, NDP kinase, EC 2.7.4.6 (Nucleoside-2-P kinase)	ndk A994_08641	Methanobacterium formicicum (strain DSM 3637 / PP1)	151	
A994_04285	K2R0S6	unreviewed	K2R0S6_METFP	Succinate--CoA ligase [ADP-forming] subunit beta, EC 6.2.1.5 (Succinyl-CoA synthetase subunit beta, SCS-beta)	sucC A994_04285	Methanobacterium formicicum (strain DSM 3637 / PP1)	370	
A994_05250	K2QE26	unreviewed	K2QE26_METFP	Fructose-bisphosphatase, EC 3.1.3.11	A994_05250	Methanobacterium formicicum (strain DSM 3637 / PP1)	279	
A994_08306	K2QBV4	unreviewed	K2QBV4_METFP	Serine--pyruvate transaminase	A994_08306	Methanobacterium formicicum (strain DSM 3637 / PP1)	382	
A994_01230	K2QFN9	unreviewed	K2QFN9_METFP	Rubrerythrin	A994_01230	Methanobacterium formicicum (strain DSM 3637 / PP1)	138	
A994_02200	K2R3C8	unreviewed	K2R3C8_METFP	Anaerobic ribonucleoside-triphosphate reductase	A994_02200	Methanobacterium formicicum (strain DSM 3637 / PP1)	768	
A994_05711	K2R0A4	unreviewed	K2R0A4_METFP	Pyruvate carboxylase subunit A, EC 6.4.1.1	A994_05711	Methanobacterium formicicum (strain DSM 3637 / PP1)	495	
A994_06920	K2R3L3	unreviewed	K2R3L3_METFP	L-aspartate dehydrogenase, EC 1.4.1.21	nadX A994_06920	Methanobacterium formicicum (strain DSM 3637 / PP1)	254	
A994_01235	K2R6S0	unreviewed	K2R6S0_METFP	Flavodoxin/nitric oxide synthase	A994_01235	Methanobacterium formicicum (strain DSM 3637 / PP1)	407	
A994_01910	K2R714	unreviewed	K2R714_METFP	3,4-dihydroxy-2-butanone 4-phosphate synthase, DHBP synthase, EC 4.1.99.12	A994_01910	Methanobacterium formicicum (strain DSM 3637 / PP1)	225	
A994_00820	K2REI5	unreviewed	K2REI5_METFP	Coenzyme F420 hydrogenase subunit gamma	A994_00820	Methanobacterium formicicum (strain DSM 3637 / PP1)	264	
A994_11152	K2RQD1	unreviewed	K2RQD1_METFP	Histidinol dehydrogenase, HDH, EC 1.1.1.23	hisD A994_11152	Methanobacterium formicicum (strain DSM 3637 / PP1)	425	
A994_06371	K2R0M3	unreviewed	K2R0M3_METFP	Succinate--CoA ligase [ADP-forming] subunit alpha, EC 6.2.1.5 (Succinyl-CoA synthetase subunit alpha, SCS-alpha)	sucD A994_06371	Methanobacterium formicicum (strain DSM 3637 / PP1)	286	
A994_10629	K2R1F5	unreviewed	K2R1F5_METFP	O-acetylhomoserine/O-acetylserine sulfhydrylase	A994_10629	Methanobacterium formicicum (strain DSM 3637 / PP1)	437	
A994_04075	K2QDJ0	unreviewed	K2QDJ0_METFP	2-ketoisovalerate ferredoxin reductase, EC 1.2.7.7	A994_04075	Methanobacterium formicicum (strain DSM 3637 / PP1)	351	
A994_05285	K2R1G9	unreviewed	K2R1G9_METFP	Archaeal glutamate synthase [NADPH], EC 1.4.1.13	A994_05285	Methanobacterium formicicum (strain DSM 3637 / PP1)	499	
A994_11837	K2R9A7	unreviewed	K2R9A7_METFP	Glutamine--fructose-6-phosphate transaminase	A994_11837	Methanobacterium formicicum (strain DSM 3637 / PP1)	334	
A994_04975	K2QDY3	unreviewed	K2QDY3_METFP	Nitrogenase iron protein, EC 1.18.6.1 (Nitrogenase Fe protein) (Nitrogenase component II) (Nitrogenase reductase)	nifH A994_04975	Methanobacterium formicicum (strain DSM 3637 / PP1)	264	
A994_05826	K2QD83	unreviewed	K2QD83_METFP	4-hydroxy-tetrahydrodipicolinate reductase, HTPA reductase, EC 1.17.1.8	dapB A994_05826	Methanobacterium formicicum (strain DSM 3637 / PP1)	300	
A994_10173	K2RR70	unreviewed	K2RR70_METFP	Dimethylmenaquinone methyltransferase	A994_10173	Methanobacterium formicicum (strain DSM 3637 / PP1)	225	
A994_00815	K2R2M8	unreviewed	K2R2M8_METFP	Coenzyme F420-reducing hydrogenase subunit beta, EC 1.12.98.1	A994_00815	Methanobacterium formicicum (strain DSM 3637 / PP1)	294	
A994_04065	K2RCP9	unreviewed	K2RCP9_METFP	Butyrate--CoA ligase	A994_04065	Methanobacterium formicicum (strain DSM 3637 / PP1)	556	
A994_06301	K2RCN2	unreviewed	K2RCN2_METFP	Cob/CoM heterodisulfide reductase subunit B	A994_06301	Methanobacterium formicicum (strain DSM 3637 / PP1)	298	
A994_04003	K2RV04	unreviewed	K2RV04_METFP	NAD(+) diphosphatase, EC 3.6.1.22	A994_04003	Methanobacterium formicicum (strain DSM 3637 / PP1)	279	
A994_06306	K2RTF5	unreviewed	K2RTF5_METFP	Cob/CoM heterodisulfide reductase subunit C	A994_06306	Methanobacterium formicicum (strain DSM 3637 / PP1)	305	
A994_07751	K2RBB2	unreviewed	K2RBB2_METFP	5,10-methenyltetrahydromethanopterin hydrogenase, EC 1.12.98.2 (H(2)-dependent methylene-H(4)MPT dehydrogenase) (H(2)-forming N(5),N(10)-methylenetetrahydromethanopterin dehydrogenase) (N(5),N(10)-methenyltetrahydromethanopterin hydrogenase)	hmd A994_07751	Methanobacterium formicicum (strain DSM 3637 / PP1)	351	
A994_01650	K2RW18	unreviewed	K2RW18_METFP	Ketol-acid reductoisomerase (NADP(+)), KARI, EC 1.1.1.86 (Acetohydroxy-acid isomeroreductase, AHIR) (Alpha-keto-beta-hydroxylacyl reductoisomerase)	ilvC A994_01650	Methanobacterium formicicum (strain DSM 3637 / PP1)	328	
A994_03158	K2R1Q4	unreviewed	K2R1Q4_METFP	Glycerol-1-phosphate dehydrogenase [NAD(P)+], G1P dehydrogenase, G1PDH, EC 1.1.1.261 (Enantiomeric glycerophosphate synthase) (sn-glycerol-1-phosphate dehydrogenase)	egsA A994_03158	Methanobacterium formicicum (strain DSM 3637 / PP1)	348	
A994_11697	K2QAA3	unreviewed	K2QAA3_METFP	Rubrerythrin	A994_11697	Methanobacterium formicicum (strain DSM 3637 / PP1)	163	
A994_01655	K2QFU6	unreviewed	K2QFU6_METFP	Acetolactate synthase small subunit, AHAS, ALS, EC 2.2.1.6 (Acetohydroxy-acid synthase small subunit)	ilvH A994_01655	Methanobacterium formicicum (strain DSM 3637 / PP1)	166	
A994_04008	K2QEU2	unreviewed	K2QEU2_METFP	Sodium/hydrogen exchanger	A994_04008	Methanobacterium formicicum (strain DSM 3637 / PP1)	396	
A994_08291	K2QYQ3	unreviewed	K2QYQ3_METFP	Acetolactate synthase	A994_08291	Methanobacterium formicicum (strain DSM 3637 / PP1)	583	
A994_09923	K2RR10	unreviewed	K2RR10_METFP	Nucleoside-triphosphatase A994_09923, NTPase, EC 3.6.1.15 (Nucleoside triphosphate phosphohydrolase)	A994_09923	Methanobacterium formicicum (strain DSM 3637 / PP1)	176	
A994_05200	K2QE16	unreviewed	K2QE16_METFP	GMP synthase [glutamine-hydrolyzing] subunit A, EC 6.3.5.2 (Glutamine amidotransferase)	guaAA A994_05200	Methanobacterium formicicum (strain DSM 3637 / PP1)	189	
A994_03263	K2RDQ2	unreviewed	K2RDQ2_METFP	Nicotinamide-nucleotide adenylyltransferase, EC 2.7.7.1 (NAD(+) diphosphorylase) (NAD(+) pyrophosphorylase) (NMN adenylyltransferase)	A994_03263	Methanobacterium formicicum (strain DSM 3637 / PP1)	174	
A994_06410	K2RSE0	unreviewed	K2RSE0_METFP	Phosphoenolpyruvate synthase, PEP synthase, EC 2.7.9.2 (Pyruvate, water dikinase)	A994_06410	Methanobacterium formicicum (strain DSM 3637 / PP1)	763	
A994_09803	K2QB20	unreviewed	K2QB20_METFP	Carbamoyl-phosphate synthase large chain, EC 6.3.5.5 (Carbamoyl-phosphate synthetase ammonia chain)	carB A994_09803	Methanobacterium formicicum (strain DSM 3637 / PP1)	1062	
A994_08836	K2R2S4	unreviewed	K2R2S4_METFP	Orotate phosphoribosyltransferase, OPRT, OPRTase, EC 2.4.2.10	pyrE A994_08836	Methanobacterium formicicum (strain DSM 3637 / PP1)	177	
A994_10599	K2QAS6	unreviewed	K2QAS6_METFP	CoB--CoM heterodisulfide reductase iron-sulfur subunit A, EC 1.8.-.-	A994_10599	Methanobacterium formicicum (strain DSM 3637 / PP1)	794	
A994_03148	K2QEC6	unreviewed	K2QEC6_METFP	Ribose-5-phosphate isomerase A, EC 5.3.1.6 (Phosphoriboisomerase A, PRI)	rpiA A994_03148	Methanobacterium formicicum (strain DSM 3637 / PP1)	238	
A994_01640	K2R338	unreviewed	K2R338_METFP	5'-nucleotidase SurE, EC 3.1.3.5 (Nucleoside 5'-monophosphate phosphohydrolase)	surE A994_01640	Methanobacterium formicicum (strain DSM 3637 / PP1)	258	
